,Topic,Title,Author
0,technology,Why Housing Policy Feels Like Generational Warfare ,Alexis C. Madrigal
1,technology,Why Teens Are Selling Clothes Out of Their Closets ,Taylor Lorenz
2,technology,There’s Nothing Wrong With Posing for Photos at Chernobyl ,Taylor Lorenz
3,technology,The ‘Platform’ Excuse Is Dying ,Alexis C. Madrigal
4,technology,I Wrote This on a 30-Year-Old Computer ,Ian Bogost
5,technology,The Collapsing Crime Rates of the ’90s Might Have Been Driven by Cellphones ,Alexis C. Madrigal
6,technology,This Is Exactly What Privacy Experts Said Would Happen ,Sidney Fussell
7,technology,The Hybrid System That Spots Tornadoes ,Robinson Meyer
8,technology,The Groups Where Thousands of Facebook Users Ask for Money ,Taylor Lorenz
9,technology,A Tale of Two Surveillance States ,Derek Thompson
10,technology,The Case for Wearing AirPods All the Time ,Marina Koren
11,technology,When Grown-Ups Get Caught in Teens’ AirDrop Crossfire ,Taylor Lorenz
12,technology,Facebook’s Dystopian Definition of ‘Fake’ ,Ian Bogost
13,technology,The Coalition Out to Kill Tech as We Know It ,Alexis C. Madrigal
14,technology,Why Silicon Valley Loved Uber More Than Everyone Else ,Alexis C. Madrigal
15,technology,The Problem With the SAT’s Idea of Objectivity ,Sidney Fussell
16,technology,The Huawei Drama Is a Gift to U.S. Tech Companies ,Alexis C. Madrigal
17,technology,Consumer Surveillance Enters Its Bargaining Phase ,Sidney Fussell
18,technology,The Groups Bringing Forum Culture to Facebook ,Taylor Lorenz
19,technology,A New Lawsuit Could Transform How the Influencer Industry Is Regulated ,Taylor Lorenz
20,technology,The Real Difference Between Creators and Influencers ,Taylor Lorenz
21,technology,How Tea Accounts Are Fueling Influencer Feuds ,Taylor Lorenz
22,technology,Social Media Are Ruining Political Discourse ,Jay David Bolter
23,technology,Mark Zuckerberg’s Power Is Unprecedented ,Alexis C. Madrigal
24,technology,President Trump Is Collecting Social-Media Grievances ,Alexis C. Madrigal
25,technology,The Problem With Social-Media Protests ,Antonia Malchik
26,technology,Breaking Up Facebook Isn’t Enough ,Ian Bogost
27,technology,The Telltale Signs of a Fake Atlantic Article ,Alexis C. Madrigal
28,technology,Instagram and Facebook Ban Far-Right Extremists ,Taylor Lorenz
29,technology,‘Attention Is the Beginning of Devotion’ ,Franklin Foer
30,technology,The AI Supply Chain Runs on Ignorance ,Sidney Fussell
31,technology,The Most Exciting Thing About Smartphones Isn’t Here Yet ,Alexis C. Madrigal
32,technology,The Push to ‘Predict’ Police Shootings ,Sidney Fussell
33,technology,"Hello Fellow Kids, It’s Me, the New Morning Edition Theme ",Robinson Meyer
34,technology,The End of Cyberspace ,Alexis C. Madrigal
35,technology,What Facebook Could Have Been ,Ian Bogost
36,technology,The Future According to Uber ,Alexis C. Madrigal
37,technology,Instagram Is the New Mall ,Taylor Lorenz
38,technology,Who’s Really Buying Property in San Francisco? ,Alexis C. Madrigal
39,technology,The Uber IPO Is a Landmark ,Alexis C. Madrigal
40,technology,When Your Amazon Purchase Explodes ,Alana Semuels
41,technology,The Irony of Mueller-Report Profiteering ,Ian Bogost
42,technology,Re-creating Facebook on Instagram ,Taylor Lorenz
43,technology,The Meme Terrorists ,Ian Bogost
44,technology,Instagram Memers Are Unionizing ,Taylor Lorenz
45,technology,Recruiting Women to Online Dating Was a Challenge ,David Kushner
46,technology,Twitter Is Not America ,Alexis C. Madrigal
